Specjalna odzie¿ robocza;Jednostki do przechowywania taœm magnetycznych;Czêœci i akcesoria do pojazdów i wózków inwalidzkich;W³ókiennicze przewody do pomp
Nasiona kwiatów;Odzie¿ przeciwdeszczowa;Urz¹dzenia z pamiêci¹ flash;Urz¹dzenia i przyrz¹dy do infuzji;Zamra¿arki przemys³owe
Tytoñ nieprzetworzony;Odzie¿ nieprzemakalna;Kontroler dysku;Pompy infuzyjne;Ch³odziarki
Roœliny u¿ywane do produkcji cukru;Peleryny nieprzeprzemakalne;Czytniki kart inteligentnych;Artyku³y do infuzji;Roboty kuchenne
Buraki cukrowe;Skafandry;Czytniki odcisków palców;Urz¹dzenia i przyrz¹dy do transfuzji;Rozdrabniacze ¿ywnoœci
Trzcina cukrowa;P³aszcze przeciwdeszczowe;Zintegrowane czytniki kart chipowych i odcisków palców;Urz¹dzenia do transfuzji krwi;Miksery kuchenne
S³oma i siano;Ubiory jednoczêœciowe;Noœniki do przechowywania;Wyroby do transfuzji krwi;Urz¹dzenia elektrotermiczne
S³oma;Zestawy ubraniowe;Dysk magnetyczny;System monitorowania pacjentów;Elektryczne zaparzacze do kawy
Siano;Komplety odzie¿owe;Dyski optyczne;Monitory;Elektryczne zaparzacze do herbaty
Surowce roœlinne;Kurtki i blezery;P³yty kompaktowe (CD);Monitory do kontrolowania czynnoœci oddechowej;Elektryczne tostery
Surowce roœlinne u¿ywane do produkcji wyrobów w³ókienniczych;Blezery;Uniwersalne dyski wideo (DVD);Centralna jednostka monitoruj¹ca;Podgrzewacze do talerzy
Bawe³na;Kurtki;Pamiêci do przechowywania danych;Pomoce medyczne;Gofrownice
Juta;Odzie¿ z wyrobów w³ókienniczych powlekanych lub impregnowanych;Pamiêæ flash;Sprzêt dla osób starszych;Piekarniki
Len;Odzie¿ ró¿na;Taœmy magnetyczne;Sprzêt dla osób niepe³nosprawnych;Kuchenki elektryczne
Kauczuk naturalny oraz lateks i produkty powi¹zane;Suknie;Ró¿ny sprzêt komputerowy;Medyczne urz¹dzenia komputerowe;Kuchenki mikrofalowe
Kauczuk naturalny;Spódnice;Urz¹dzenia rozszerzania pamiêci;Szpitalne wyroby papierowe;Ruszty, p³yty grzewcze (AGD), p³ytki do podgrzewania potraw i pierœcienie do gotowania
Lateks naturalny;Szorty;Pamiêæ o dostêpie swobodnym (RAM);Ok³ady papierowe;Ruszty
Produkty z lateksu;Spodnie;Pamiêæ dynamiczna o dostêpie swobodnym (DRAM);Papierowe waciki lub kompresy odka¿aj¹ce;P³yty grzewcze (AGD)
Roœliny u¿ywane w bran¿ach specjalnych;Pulowery, swetry rozpinane i podobne wyroby;Pamiêæ statyczna o dostêpie swobodnym (SRAM);Odzie¿ medyczna;P³ytki do podgrzewania potraw
Roœliny u¿ywane w przemyœle perfumeryjnym lub farmaceutycznym lub do wyrobu œrodków owadobójczych, lub do podobnych celów;Pulowery;Synchroniczna pamiêæ dynamiczna o dostêpie swobodnym (SDRAM);Produkty farmaceutyczne;Pierœcienie do gotowania
Roœliny u¿ywane w przemyœle perfumeryjnym;Swetry rozpinane;Pamiêæ dynamiczna Rambus o dostêpie swobodnym (RDRAM);Produkty lecznicze dla przewodu pokarmowego i metabolizmu;Otwieracze do puszek
Roœliny u¿ywane w przemyœle farmaceutycznym;Swetry;Synchroniczna pamiêæ graficzna o dostêpie swobodnym (SGRAM);Produkty lecznicze do leczenia zaburzeñ zwi¹zanych z nadkwasot¹;Elektryczny sprzêt gospodarstwa domowego do u¿ytku w bezpoœrednim kontakcie z cia³em ludzkim
Roœliny u¿ywane do wyrobu œrodków owadobójczych;Kamizelki;Pamiêæ tylko do odczytu (ROM);Produkty lecznicze do leczenia zaburzeñ w funkcjonowaniu przewodu pokarmowego;Spinki do w³osów
Roœliny u¿ywane do wyrobu œrodków grzybobójczych lub do podobnych celów;Czêœci garderoby;Programowalna pamiêæ tylko do odczytu (PROM);Œrodki przeczyszczaj¹ce;Urz¹dzenia fryzjerskie
Nasiona roœlin u¿ywane w bran¿ach specjalnych;Bielizna osobista;Kasowalna pamiêæ tylko do odczytu (EPROM);Œrodki przeciwbiegunkowe, jelitowe czynniki przeciwzapalne/przeciwinfekcyjne;Suszarki do w³osów
Produkty ogrodnicze i szkó³karskie;Slipy;Elektronicznie kasowalna pamiêæ tylko do odczytu (EEPROM);Produkty lecznicze u¿ywane przy cukrzycy;Aparaty do suszenia r¹k
Produkty ogrodnicze;Kalesony;Urz¹dzenia do przetwarzania danych;Insulina;"Elektryczny sprzêt gospodarstwa domowego do czyszczenia; ¿elazka do prasowania"
¯ywe roœliny, bulwy, korzenie, sadzonki i rozsady;Majtki;Czêœci, akcesoria i wyroby do komputerów;Witaminy;Zmywarki do naczyñ
Kwiaty ciête;P³aszcze k¹pielowe;Czêœci komputerów;Prowitaminy;Maszyny pior¹ce i suszarki do ubrañ
Kompozycje kwiatowe;Poñczochy;Interfejsy sieciowe;Dodatki mineralne;Pralki i suszarki
Roœliny wykorzystywane do produkcji napojów i przypraw;Rajstopy;Porty komputerowe;Produkty lecznicze dla krwi, organów krwiotwórczych oraz uk³adu kr¹¿enia;Urz¹dzenia do suszenia i prasowania
Roœliny wykorzystywane do produkcji napojów;Skarpety;Szeregowe porty podczerwieni;Produkty lecznicze dla krwi oraz organów krwiotwórczych;Zgniatarki do odpadów
Ziarna kawy;Odzie¿ nocna;Karty komputerowe;Œrodki obni¿aj¹ce krzepliwoœæ krwi;Maszyny do konserwowania pod³óg
Krzewy herbaciane;Koszule nocne;Karty elektroniczne;Œrodki przeciwkrwotoczne;Maszyny do czyszczenia pod³óg
Herbata paragwajska (Mate);Szlafroki;Interfejs USB;Preparaty przeciw anemii;Froterki do pod³óg
Ziarna kakao;Pid¿amy;Interfejsy i adaptery do kart PCMCIA;Substytuty krwi i roztwory do perfuzji;Odkurzacze
Przyprawy nieprzetworzone;Podkoszulki;Karty akceleratorów graficznych;Produkty lecznicze dla uk³adu sercowo-naczyniowego;Akcesoria do odkurzaczy
Produkty zwierzêce i podobne;Koszule nocne damskie;Karty sieciowe;Produkty lecznicze do terapii serca;¯elazka elektryczne
Nasienie byków;Biustonosze, gorsety, pasy do poñczoch i podobne wyroby;Karty dŸwiêkowe;Œrodki przeciw nadciœnieniu;¯elazka parowe
Produkty zwierzêce;Biustonosze;P³yty g³ówne;Œrodki moczopêdne;Wyci¹gi wentylacyjne lub recyklingowe
Miód naturalny;Gorsety;Akcesoria komputerowe;Œrodki chroni¹ce naczynia krwionoœne;Wywietrzniki
Œlimaki;Szelki;Ekrany antyodblaskowe;Œrodki przeciw hemoroidom do u¿ytku miejscowego;Wentylatory wyci¹gowe
Jadalne produkty pochodzenia zwierzêcego;Koszulki i koszule;Podk³adki pod myszy;Betablokery;"Grza³ki wodne oraz ogrzewanie do budynków; sprzêt hydrauliczny"
Woski;Koszulki;Pamiêci;Blokery kana³ów wapniowych;Elektryczne podgrzewacze wody, natychmiastowe lub akumulacyjne oraz grza³ki nurnikowe
Jaja;Koszule;Kamera internetowa;Œrodki aktywne wobec uk³adu reninoangiotensyny;Urz¹dzenia grzewcze
Produkty mieszanej gospodarki rolnej;Koszulki polo;Akcesoria do czyszczenia komputerów;Produkty lecznicze dla dermatologii oraz uk³adu miêœniowo-szkieletowego;Urz¹dzenia centralnego ogrzewania
Produkty rolne;Odzie¿ specjalna i dodatki;Zestawy do czyszczenia komputerów;Produkty lecznicze dla dermatologii;Elektryczne oporowe urz¹dzenia grzewcze
Zbo¿a, ziemniaki, warzywa, owoce i orzechy;Odzie¿ specjalna;Odpylacze powietrza pod ciœnieniem;Œrodki przeciwgrzybiczne do u¿ytku dermatologicznego;Elektryczna aparatura do podgrzewania gleby
Zbo¿a i ziemniaki;Odzie¿ niemowlêca;Pokrycia przeciwpy³owe dla sprzêtu komputerowego;Kwasy salicylowe;Elektryczna aparatura do podgrzewania powietrza
Zbo¿a;Odzie¿ sportowa;Wsporniki do montowania monitorów na œcianie;Œrodki zmiêkczaj¹ce i ochronne;Sprzêt hydrauliczny
Pszenica;Odzie¿ treningowa;Torby na komputery przenoœne;Œrodki przeciw ³uszczycy;Czêœci elektrycznego sprzêtu gospodarstwa domowego
Pszenica durum;Koszulki sportowe;Akcesoria zasilaj¹ce;Antybiotyki i œrodki chemoterapeutyczne do u¿ytku dermatologicznego;Wentylatory i urz¹dzenia klimatyzacyjne
Pszenica zwyk³a;Odzie¿ narciarska;Podpórki pod nadgarstki przy klawiaturze;Kortykosterydy do u¿ytku dermatologicznego oraz do preparatów dermatologicznych;Wentylatory
Kukurydza;Stroje k¹pielowe;Os³ony na klawisze;Œrodki antyseptyczne i dezynfekcyjne;Urz¹dzenia klimatyzacyjne
Ry¿;Dodatki odzie¿owe;Wyroby komputerowe;Preparaty przeciwtr¹dzikowe;Sprzêt gospodarstwa domowego inny ni¿ elektryczny
Jêczmieñ;Chustki do nosa;Matryce z czcionk¹ do drukarek;Produkty lecznicze dla uk³adu miêœniowo-szkieletowego;Urz¹dzenia do gotowania lub grzewcze u¿ywane w gospodarstwie domowym
¯yto;Szale;Dyskietki;Produkty przeciwzapalne i przeciwreumatyczne;Urz¹dzenia do gotowania u¿ywane w gospodarstwie domowym
Owies;Krawaty;Kasety z cyfrow¹ taœm¹ dŸwiêkow¹ (DAT);Œrodki rozluŸniaj¹ce miêœnie;Ch³odziarki gazowe
S³ód;Rêkawice;Kasety z cyfrow¹ taœm¹ liniow¹ (DLT);Preparaty przeciwartretyczne;Ogrzewacze powietrza lub powietrza inne ni¿ elektryczne
Produkty z ziaren;Rêkawice jednorazowe;Kasety do zapisywania danych;Produkty lecznicze dla uk³adu moczowo-p³ciowego oraz hormonów;Ogrzewacze powietrza
Ziemniaki i warzywa suszone;Rêkawiczki z jednym palcem;Kasety z taœm¹ LTO;Produkty lecznicze dla uk³adu moczowo-p³ciowego oraz hormonów p³ciowych;Osuszacze powietrza
Ziemniaki;Ochraniacze na nadgarstki;Kasety rejestruj¹ce;Ginekologiczne œrodki przeciwinfekcyjne i antyseptyczne;Sprê¿arkowe osuszacze powietrza
Warzywa str¹czkowe suszone, ³uskane;Paski;CD-ROM-y;Pozosta³e œrodki ginekologiczne;Natychmiastowe lub akumulacyjne, nieelektryczne podgrzewacze wody
Warzywa str¹czkowe suszone;Bandoliery;Akcesoria do wprowadzania danych;Hormony p³ciowe i modulatory systemu p³ciowego;Urz¹dzenia gazownicze
Soczewica;Kapelusze i nakrycia g³owy;Myszka komputerowa;Œrodki antykoncepcyjne;Grza³ki gazowe
Ciecierzyca;Kapelusze;Joysticki;Doustne œrodki antykoncepcyjne;Czêœci piecyków, kuchenek, podgrzewaczy oraz sprzêtu gospodarstwa domowego
Groch suszony;Nakrycia g³owy i dodatki;Markery;Chemiczne œrodki antykoncepcyjne;Czêœci pieców
Jadalne nasiona roœlin str¹czkowych;Taœmy do wewnêtrznego wykañczania kapeluszy;Manipulatory kulowe;Ogólnoustrojowe preparaty hormonalne, z wy³¹czeniem hormonów p³ciowych;Czêœci kuchenek
Warzywa, owoce i orzechy;Nakrycia g³owy;Tablety graficzne;Hormony przysadki, podwzgórza i analogiczne;Czêœci podgrzewaczy
Warzywa;Berety;Klawiatury komputerowe;Kortykosterydy do u¿ytku ogólnoustrojowego;Œrodki czyszcz¹ce i poleruj¹ce
Warzywa korzeniowe i bulwiaste;Czapki;Klawiatury programowalne;Produkty lecznicze do terapii tarczycy;Preparaty i woski wonne
Warzywa korzeniowe;Kaptury;Nak³adki do klawiatur z pismem Braille’a;Ogólne œrodki przeciwinfekcyjne do u¿ytku ogólnoustrojowego, szczepionki, œrodki przeciwnowotworowe oraz immunomodulacyjne;Preparaty do odœwie¿ania powietrza w pomieszczeniach
Burak æwik³owy;Czapeczki;Czujniki elektryczne;Ogólne œrodki przeciwinfekcyjne do u¿ytku ogólnoustrojowego oraz szczepionki;Odœwie¿acze powietrza
Marchew;Wi¹zania do nakryæ g³owy;Jednostki wejœcia;Œrodki antybakteryjne do u¿ytku ogólnoustrojowego;Dozowniki odœwie¿aczy powietrza
Cebula;Os³ony oczu;Zautomatyzowane urz¹dzenia biblioteczne;Œrodki przeciwgrzybiczne do u¿ytku ogólnoustrojowego;Œrodki odka¿aj¹ce powietrze
Rzepa;Ochronne nakrycia g³owy;"Maszyny, aparatura, urz¹dzenia i wyroby elektryczne; oœwietlenie";Przeciwgrzybiczne œrodki bakteryjne;Odœwie¿acze
Warzywa bulwiaste;Zabezpieczaj¹ce nakrycia g³owy;Elektryczne silniki, generatory i transformatory;Œrodki antywirusowe do u¿ytku ogólnoustrojowego;Pasty i kremy
Warzywa owocowe;He³my;Silniki elektryczne;Surowice odpornoœciowe oraz immunoglobuliny;Pasty do pod³óg
Fasola;He³my ochronne;Adaptory;Surowice odpornoœciowe;Pasty do butów
Bób;Kaski rowerowe;Generatory;Immunoglobuliny;Woski polerskie
Fasola szparagowa;Kaski;Zestawy pr¹dnicowe;Szczepionki;Zmiotki
Fasola wielokwiatowa;Zapiêcia (do odzie¿y);Generatory z silnikami o zap³onie samoczynnym;Szczepionki przeciw dyfterytowi-kokluszowi-tê¿cowi;Substancje uszczelniaj¹ce
Groch;Guziki;Przekszta³tniki mocy;Szczepionki przeciw dyfterytowi-tê¿cowi;Pasty i proszki czyszcz¹ce
Groch ozdobny;Czêœci guzików;Elektryczne przekszta³tniki obrotowe;Szczepionki BCG (suche);Œrodki organiczne powierzchniowo czynne
Burak pastewny;Zapinki;Zestawy pr¹dnicowe z silnikiem spalinowym o zap³onie iskrowym;Szczepionki przeciwko odrze-œwince-ró¿yczce;Œrodki czyszcz¹ce zawieraj¹ce amoniak
Papryka;Zamki b³yskawiczne;Wiatrowe pr¹dnice mocy;Szczepionki przeciwko tyfusowi plamistemu;Alkaliczne œrodki czyszcz¹ce
Pomidory;Bi¿uteria, zegarki i artyku³y podobne;Wiatraki;Sczepionki przeciw grypie;Œrodki czyszcz¹ce
Cukinia;Bi¿uteria i podobne wyroby;Silniki wiatrowe;Szczepionki przeciw polio;Preparaty pior¹ce
Grzyby;Kamienie szlachetne do bi¿uterii;Pr¹dnice silników wiatrowych;Szczepionki przeciwko zapaleniu w¹troby typu B;Œrodki rozpuszczaj¹ce oleje
Ogórki;Diamenty;Wirniki turbin;Szczepionki dla medycyny weterynaryjnej;Detergenty
Warzywa liœciaste;Rubiny;Elektrownie wiatrowe;Œrodki przeciwnowotworowe i immunomodulacyjne;Detergenty do zmywarek
Sa³ata;Szmaragdy;Jednostki pr¹dotwórcze;Œrodki przeciwnowotworowe;Œrodki odt³uszczaj¹ce
Sa³ata liœciasta;Opal;Komórki paliwowe;Produkty lekarskie do terapii uk³adu dokrewnego;Œrodki rozpuszczaj¹ce t³uszcze
Karczochy;Kwarc;Pr¹dnice turbiny parowej i podobna aparatura;Œrodki immunosupresyjne;Preparaty czyszcz¹ce
Szpinak;Turmalin;Turbozespo³y;Produkty lecznicze dla uk³adu nerwowego i organów zmys³ów;Roztwory myj¹ce
Warzywa kapustne;Monety i medale;Aparatura sterownicza do pr¹dnic turbinowych;Produkty lecznicze dla uk³adu nerwowego;Œrodki do czyszczenia pod³óg
Kapusta;Monety;Dynama;Œrodki znieczulaj¹ce;Œrodki do czyszczenia ekranów
Kalafior;Medale;Pr¹dnice awaryjne;Œrodki przeciwbólowe;Samochodowe œrodki czyszcz¹ce
Broku³y;Wyroby bi¿uteryjne;Turbogenerator;Œrodki przeciwepileptyczne;Œrodki do czyszczenia toalet
Kapusta brukselska;Per³y;Alternatory;Produkty lecznicze przeciwko chorobie Parkinsona;Automatyczne dozowniki myd³a
Owoce i orzechy;Wyroby z³otnicze;Silniki jednofazowe;Neuroleptyki;Produkty do zmywania naczyñ
Owoce i orzechy tropikalne;Wyroby z metali szlachetnych;Urz¹dzenia wykonawcze;Neuroanaleptyki;Proszek do zmywania naczyñ
Owoce tropikalne;Wyroby z kamieni szlachetnych lub pó³szlachetnych;Anody;Pozosta³e produkty lecznicze dla uk³adu nerwowego;Produkty zapobiegaj¹ce osiadaniu kurzu
Banany;Wyroby srebrzarskie;Silniki wielofazowe;Produkty lecznicze dla organów zmys³ów;Roztwory do czyszczenia bi¿uterii
Ananasy;Wyroby zegarmistrzowskie do u¿ytku osobistego;Uk³ady ch³odz¹ce;Œrodki oftalmologiczne;Woda zlewnicza i oczyszczona
Mango;Zegarki;Ch³odnice wody;Œrodki lecznicze dla uk³adu oddechowego;Woda naturalna
Daktyle;Szk³o do zegarków;Stateczniki do lamp wy³adowczych lub œwietlówek;Produkty lecznicze przeciwko przewlek³ym chorobom przenoszonym drog¹ kropelkow¹;Woda pitna
Rodzynki;Zegarki na rêkê;Przekszta³tniki;Preparaty przciwkaszlowe i przeciwko przeziêbieniom;Woda nienadaj¹ca siê do picia
Figi;Stopery;Prostowniki;Preparaty antyhistaminowe do uzytku ogólnoustrojowego;Maszyny przemys³owe
Awokado;Prezenty i nagrody;Bezprzestojowe Ÿród³a energii;Wyroby farmaceutyczne;Maszyny do wytwarzania i wykorzystywania mocy mechanicznej
Owoce kiwi;Futra i wyroby z futra;Falowniki;Smoczki, os³onki na brodawki sutkowe i podobne artyku³y dla niemowl¹t;Turbiny i silniki
Orzechy kokosowe;Wyroby futrzane;Przestojowe Ÿród³a energii;P³yty gumowe;Silniki
Owoce cytrusowe;Skóry futrzane;Wzbudniki;Poduszki gumowe;Silniki zewnêtrzne do napêdzania ³odzi
Cytryny;Ubiory futrzane;£adowarki;Ró¿ne produkty lecznicze;Instalacje turbinowe
Pomarañcze;Wyroby ze sztucznego futra;£adowarki do baterii;Produkty antypaso¿ytnicze, œrodki owadobójcze i odstraszaj¹ce owady;Turbiny parowe
Grejpfruty;Futra;Sprê¿arka do³adowuj¹ca;Œrodki przeciwko pierwotniakom;Turbiny hydrauliczne
Mandarynki;Obuwie;Turbosprê¿arka do³adowuj¹ca;Œrodki przeciwko robakom;Ko³a wodne
Limonki;Obuwie inne ni¿ sportowe oraz ochronne;Czêœci silników elektrycznych, generatorów i transformatorów;Œrodki przeciwko ekopaso¿ytom, w³¹czaj¹c œrodki przeciwœwierzbowe, owadobójcze i odstraszaj¹ce owady;Turbiny gazowe
Owoce inne ni¿ tropikalne;Obuwie nieprzemakalne;Czêœci silników elektrycznych i pr¹dnic;Roztwory lecznicze;Urz¹dzenia turbinowe
Owoc jagody;Obuwie z czêœciami gumowymi lub z tworzyw sztucznych;Uk³ady wzbudnicowe;Roztwory do wstrzykiwania;Przyrz¹dy turbinowe
Porzeczki;Sanda³y z cholewkami z gumy lub z tworzyw sztucznych;Uk³ady ch³odzenia gazu;Produkty do ¿ywienia pozajelitowego;Czêœci turbin
Agrest;Buty gumowe;Wirniki pr¹dnic;Preparaty od¿ywiania pozajelitowego;Czêœci turbin parowych
Truskawki;Obuwie lekkie z cholewkami z gumy lub z tworzyw sztucznych;Uk³ady wody pierwotnej;Roztwory do perfuzji;P³yty fundamentowe
Maliny;Klapki;Uk³ady oleju uszczelniaj¹cego;Roztwory do perfuzji;Obudowy turbin
¯urawina b³otna;Obuwie z cholewkami ze skóry;Wodne uk³ady ch³odz¹ce stojan;P³yny do¿ylne;Uk³ady skraplania sch³odzonego powietrza
Jab³ka, gruszki i pigwy;Sanda³y;Czêœci generatorów parowych;Preparaty od¿ywiania wewn¹trzjelitowego;Uk³ady smarowania olejem
Jab³ka;Pantofle;Czêœci generatorów gazowych;Roztwory galenowe;Oddzielacze cieczy
Gruszki;Obuwie lekkie;Uk³ady sterowania napiêcia;Roztwory glukozy;Osuszacze
Pigwy;Obuwie z cholewkami z tworzyw w³ókienniczych;Czêœci transformatorów, wzbudników oraz przekszta³tników;Roztwory do dializy;Urz¹dzenia wirnikowe
Owoce pestkowe;Buty;Czêœci kondensatorów;Pozosta³e produkty terapeutyczne;Wirniki
Morele;Buty za kostkê;Transformatory;Toksyny;£opatki
Brzoskwinie;Buty z cholewami;Ciek³e transformatory z dielektrykiem;Namiastki nikotyny;Obracarka
Wiœnie;Buty do kolan;Transformatory napiêciowe;Œrodki leczenia uzale¿nieñ;Czêœci turbin hydraulicznych
Œliwki;Gumiaki;Przek³adniki;Czynniki diagnostyczne;Czêœci turbin gazowych
Winogrona;Kalosze;Transformatory uk³adów zasilania;Wszelkie pozosta³e produkty inne ni¿ terapeutyczne;Uk³ady wlotu powietrza
Winogrona sto³owe;Obuwie sportowe;Aparatura do przesy³u i eksploatacji energii elektrycznej;Odczynniki i œrodki kontrastowe;Modu³y do wstrzykiwania gazu
Winogrona do produkcji win;Obuwie narciarskie;Elektryczna aparatura do wy³¹czania lub ochrony obwodów elektrycznych;Odczynniki do klasyfikacji grupy krwi;Uk³ady paliwa gazowego
Oliwki;Buty do biegów narciarskich;Tablice i skrzynki bezpiecznikowe;Odczynniki do badania krwi;Czêœci kó³ wodnych
Produkty hodowli, ³owiectwa i rybo³ówstwa;Buty treningowe;Tablice do aparatury elektrycznej;Odczynniki chemiczne;Pompy i sprê¿arki
Ryby, skorupiaki i produkty wodne;Buty do wspinaczki;Panele kontrolne;Odczynniki izotopowe;Silniki i generatory mocy hydrauliczne lub pneumatyczne
Ryby;Buty do gry w pi³kê no¿n¹;Skrzynki bezpiecznikowe;Odczynniki laboratoryjne;Cylindry hydrauliczne lub pneumatyczne
P³astuga;Obuwie ochronne;Bezpieczniki;Odczynniki do elektroforezy;Silniki hydrauliczne
Sola;Obuwie z metalowymi ochraniaczami na palce;Wy³¹czniki;Odczynniki urologiczne;Silniki pneumatyczne
G³adzica;Obuwie specjalne;Bloki bezpieczników;Noœniki kontrastu rentgenowskiego;Hydrauliczne generatory mocy
Ryby dorszowate;Obuwie lotnicze;Drut topikowy;Preparaty lecznicze, z wy³¹czeniem produktów stomatologicznych;Pneumatyczne generatory mocy
Dorsz;Czêœci obuwia;Zaciski bezpiecznikowe;Preparaty do lewatywy;Pompy
Czarniak;Cholewki do butów;Przerywacze obwodów;Cementy do rekonstrukcji koœci;Pompy cieczowe
Morszczuk;Podeszwy;Napowietrzne przerywacze obwodów;Produkty lekarskie;Pompy gaœnicze
Plamiak;Obcasy;Próbniki obwodów;Kultury mikrobiologiczne;Uk³ady wymiany paliwa do œmig³owców
ŒledŸ;Baga¿e, wyroby rymarskie, worki i torby;Magnetyczne przerywacze obwodów;Gruczo³y i ich ekstrakty;Pompy wodne
Tuñczyk;Wyroby rymarskie;Miniaturowe przerywacze obwodów;Substancje peptydowe;Pompy ch³odz¹ce
Witlinek;Siod³a;Urz¹dzenia przesy³owe;Produkty do pielêgnacji cia³a;Ch³odz¹ce pompy wodne
Pielêgnicowate;Szpicruty;Rozdzielnie;Perfumy, produkty toaletowe i prezerwatywy;Pompy uk³adu smarowania
£osoœ;Bicze;Transformatory przesy³owe;Perfumy i produkty toaletowe;Pompy paliwowe
Skorupiaki;Baga¿e;Szafy kablowe;Wody toaletowe;Pompy do betonu
Ostrygi;Walizki;Uk³ad przesy³owy;Dezodoranty;Pompy cieczowe wyporowo-t³okowe
Miêczaki;Portmonetki i portfele;Przek³adnia;Œrodki przeciwpotne;Uk³ady hydrauliczne
Wodne bezkrêgowce;Portmonetki;Prze³¹czniki;Wody koloñskie;Pompy œciekowe
Produkty wodne;Portfele;Prze³¹czniki izolacyjne;Œrodki zapachowe;Pompy podawcze
Korale lub produkty podobne;Kufry;Prze³¹czniki uziemiaj¹ce;Woda ró¿ana;Wentylatory ciœnieniowe do cieczy
G¹bki naturalne;Uchwyty na butelki z wod¹ i kabury;Wy³¹czniki bezpieczeñstwa;Preparaty do makija¿u;Pompy wirowe i podnoœniki cieczy
Wodorosty;Uchwyty na butelki z wod¹;Prze³¹czniki œciemniaj¹ce;Preparaty do pielêgnacji paznokci d³oni i stóp;Pompy do u¿ytku medycznego
Algi;Kabury;Prze³¹czniki bêbnowe;Produkty upiêkszaj¹ce;Pompy do od¿ywiania
Byd³o, zwierzêta gospodarskie i ma³e zwierzêta;Kosmetyczki;Wy³¹czniki ciœnieniowe;P³atki bawe³niane;Pompy perfuzyjne
Byd³o;Worki i torby;Prze³¹czniki dwustabilne;Zestawy do makija¿u;Podnoœniki cieczowe
Byd³o wo³owe;Torby podró¿ne;Prze³¹czniki suwakowe;Waciki jednorazowe;Pompy odœrodkowe
Cielêta;Plecaki;Wy³¹czniki krañcowe;Balsam do ust;Pompy obrotowe
Zwierzêta gospodarskie;Torby sportowe;Od³¹cznik;Tatua¿e;Pompy pró¿niowe
Owce;Torby pocztowe lub na paczki;Zewnêtrzne instalacje prze³¹cznikowe;Produkty do pielêgnacji skóry;Pompy powietrza
Kozy;Poduszeczki nawil¿ane u¿ywane w urzêdach pocztowych;Wy³¹czniki bezpieczników;Produkty chroni¹ce przed s³oñcem;Pompy wirowe
Konie;Zestawy toreb;Elektryczne tablice rozdzielcze;¯ele do k¹pieli;Pompy laboratoryjne i akcesoria
Œwinie;Torby na pranie;Przesy³owe tablice rozdzielcze;Czepki k¹pielowe;Pompy perystaltyczne
Drób ¿ywy;Torby w³ókiennicze;Tablice rozdzielcze œredniego napiêcia;Kremy lub p³yny parafarmaceutyczne;Sprê¿arki
Ma³e zwierzêta;Torebki do pakowania towarów;Ograniczniki napiêcia;Preparaty i artyku³y do w³osów;Sprê¿arki gazu
Króliki;Torby do pakowania towarów;Odgromniki;Szampony;Sprê¿arki obrotowe
Zaj¹ce;Pojemniki tymczasowe;Piorunochrony;Grzebienie;Sprê¿arki do urz¹dzeñ ch³odz¹cych
